timestamp,movement,heart_rate,state,hr_change,hr_rolling_mean,movement_rolling_mean
316,9.398203125,115.26666666666667,active,0.2666666666666657,113.82666666666667,14.548197916666666
317,6.246770833333334,115.53333333333333,active,0.2666666666666657,114.14666666666668,11.024899739583333
318,10.470546875,115.8,active,0.2666666666666657,114.46,9.843339843749998
319,6.362760416666666,116.06666666666666,active,0.2666666666666657,114.76666666666668,8.79025
320,9.027408854166667,116.33333333333333,active,0.2666666666666657,115.06666666666668,8.413895833333333
321,18.94669270833333,116.6,active,0.2666666666666657,115.35999999999999,9.46701171875
322,13.565377604166668,116.86666666666666,active,0.2666666666666657,115.64666666666668,9.940221354166667
323,9.704635416666669,117.13333333333334,active,0.26666666666667993,115.92666666666666,9.98688671875
324,8.775325520833333,117.4,active,0.2666666666666657,116.2,10.048473958333334
325,14.837486979166666,117.66666666666667,active,0.2666666666666657,116.46666666666667,10.733520833333333
326,9.63609375,117.93333333333334,active,0.2666666666666657,116.73333333333332,10.757309895833334
327,12.614479166666667,118.2,active,0.2666666666666657,117.0,11.394080729166667
328,11.311302083333333,118.46666666666667,active,0.2666666666666657,117.26666666666668,11.478156250000001
329,13.24953125,118.73333333333333,active,0.2666666666666657,117.53333333333333,12.166833333333333
330,6.434453125,119.0,active,0.2666666666666657,117.8,11.907537760416666
331,10.377630208333333,119.13333333333334,active,0.13333333333333997,118.05333333333336,11.050631510416668
332,10.262838541666667,119.26666666666667,active,0.13333333333332575,118.29333333333334,10.720377604166666
333,11.87203125,119.4,active,0.13333333333333997,118.52000000000001,10.9371171875
334,14.544869791666668,119.53333333333333,active,0.13333333333332575,118.73333333333332,11.514071614583333
335,7.279921875,119.66666666666667,active,0.13333333333333997,118.93333333333332,10.758315104166666
336,14.127825520833332,119.8,active,0.13333333333332575,119.12,11.207488281249999
337,13.484518229166667,119.93333333333334,active,0.13333333333333997,119.29333333333334,11.2944921875
338,10.081471354166666,120.06666666666666,active,0.13333333333332575,119.45333333333333,11.171509114583333
339,8.62328125,120.2,active,0.13333333333333997,119.6,10.708884114583334
340,16.388450520833334,120.33333333333333,active,0.13333333333332575,119.73333333333332,11.704283854166667
341,14.399153645833334,120.46666666666667,active,0.13333333333333997,119.86666666666665,12.106436197916668
342,9.233997395833333,120.6,active,0.13333333333332575,120.0,12.003552083333334
343,7.5591015625,120.73333333333333,active,0.13333333333333997,120.13333333333335,11.572259114583334
344,11.030130208333333,120.86666666666666,active,0.13333333333332575,120.26666666666668,11.220785156249999
345,6.225104166666667,121.0,active,0.13333333333333997,120.4,11.115303385416667
346,11.941979166666666,121.53333333333333,active,0.5333333333333314,120.57333333333334,10.89671875
347,10.673958333333331,122.06666666666666,active,0.5333333333333314,120.78666666666666,10.615662760416665
348,9.007291666666667,122.6,active,0.5333333333333314,121.04,10.508244791666666
349,8.265104166666667,123.13333333333334,active,0.5333333333333456,121.33333333333333,10.472427083333333
350,11.226861979166667,123.66666666666667,active,0.5333333333333314,121.66666666666667,9.956268229166666
351,6.0626822916666665,124.2,active,0.5333333333333314,122.04,9.12262109375
352,11.96578125,124.73333333333333,active,0.5333333333333314,122.45333333333333,9.395799479166666
353,9.914283854166667,125.26666666666667,active,0.5333333333333314,122.90666666666667,9.631317708333333
